,school_name,country
0,Harvard University,United States of America
1,California Institute of Technology,United States of America
2,Massachusetts Institute of Technology,United States of America
3,Stanford University,United States of America
4,Princeton University,United States of America
7,"University of California, Berkeley",United States of America
9,Yale University,United States of America
10,"University of California, Los Angeles",United States of America
11,University of Chicago,United States of America
12,Johns Hopkins University,United States of America
13,Cornell University,United States of America
15,University of Michigan,United States of America
17,Columbia University,United States of America
18,University of Pennsylvania,United States of America
19,Carnegie Mellon University,United States of America
22,University of Washington,United States of America
23,Duke University,United States of America
24,Northwestern University,United States of America
26,Georgia Institute of Technology,United States of America
28,"University of California, Santa Barbara",United States of America
30,University of North Carolina at Chapel Hill,United States of America
31,"University of California, San Diego",United States of America
32,University of Illinois at Urbana-Champaign,United States of America
37,Washington University in St Louis,United States of America
45,University of Wisconsin,United States of America
46,Rice University,United States of America
48,"University of California, Irvine",United States of America
50,Vanderbilt University,United States of America
51,University of Minnesota,United States of America
52,Tufts University,United States of America
53,"University of California, Davis",United States of America
54,Brown University,United States of America
55,University of Massachusetts,United States of America
58,Boston University,United States of America
59,New York University,United States of America
60,Emory University,United States of America
62,University of Notre Dame,United States of America
63,University of Pittsburgh,United States of America
64,Case Western Reserve University,United States of America
65,Ohio State University,United States of America
66,University of Colorado Boulder,United States of America
68,"University of California, Santa Cruz",United States of America
69,Yeshiva University,United States of America
71,University of Virginia,United States of America
73,University of Southern California,United States of America
74,William & Mary,United States of America
77,Stony Brook University,United States of America
83,University of Utah,United States of America
91,Wake Forest University,United States of America
94,George Washington University,United States of America
95,University of Arizona,United States of America
97,"University of Maryland, College Park",United States of America
98,Dartmouth College,United States of America
103,Rensselaer Polytechnic Institute,United States of America
104,"Rutgers, the State University of New Jersey",United States of America
105,Purdue University,United States of America
108,Pennsylvania State University,United States of America
115,University of Hawai’i at Mānoa,United States of America
116,"University of California, Riverside",United States of America
121,Michigan State University,United States of America
133,University of Iowa,United States of America
155,Indiana University,United States of America
156,Iowa State University,United States of America
157,Georgia Health Sciences University,United States of America
159,University of Delaware,United States of America
160,Arizona State University,United States of America
161,Boston College,United States of America
163,Georgetown University,United States of America
189,Drexel University,United States of America
190,University of Cincinnati,United States of America
195,Kent State University,United States of America
196,University of Illinois at Chicago,United States of America
200,University of Wisconsin-Madison,United States of America
201,University of Texas at Austin,United States of America
202,University of Rochester,United States of America
205,University of Florida,United States of America
206,Brandeis University,United States of America
211,Medical University of South Carolina,United States of America
212,Texas A&M University,United States of America
217,University of Miami,United States of America
228,Colorado School of Mines,United States of America
230,Northeastern University,United States of America
232,Tulane University,United States of America
235,University at Buffalo,United States of America
237,University of Georgia,United States of America
239,University of Medicine and Dentistry of New Jersey,United States of America
241,University of South Carolina,United States of America
248,Colorado State University,United States of America
249,Creighton University,United States of America
253,State University of New York Albany,United States of America
260,University of Missouri,United States of America
277,University of Texas at Dallas,United States of America
282,Virginia Polytechnic Institute and State University,United States of America
283,Wayne State University,United States of America
299,University of Kansas,United States of America
300,University of Kentucky,United States of America
303,University of Texas at San Antonio,United States of America
309,"Binghamton University, State University of New York",United States of America
313,George Mason University,United States of America
318,Lehigh University,United States of America
333,University of Houston,United States of America
337,"University of Maryland, Baltimore County",United States of America
339,University of Oklahoma,United States of America
342,University of South Florida,United States of America
352,Washington State University,United States of America
354,Auburn University,United States of America
355,Clemson University,United States of America
359,Georgia State University,United States of America
364,Kansas State University,United States of America
373,Michigan Technological University,United States of America
378,New Jersey Institute of Technology,United States of America
380,Old Dominion University,United States of America
391,University of Idaho,United States of America
399,University of Wyoming,United States of America
409,Florida Institute of Technology,United States of America
415,University of Connecticut,United States of America
416,University of Oregon,United States of America
418,Oregon State University,United States of America
419,University of Montana,United States of America
426,North Carolina State University,United States of America
431,University of Vermont,United States of America
436,Southern Methodist University,United States of America
437,Temple University,United States of America
447,University of Nebraska-Lincoln,United States of America
448,University of Alaska Fairbanks,United States of America
455,San Diego State University,United States of America
460,Syracuse University,United States of America
465,University of New Mexico,United States of America
469,Illinois Institute of Technology,United States of America
472,University of Nebraska Medical Center,United States of America
486,Florida State University,United States of America
487,Oregon Health and Science University,United States of America
491,Rush University,United States of America
496,Saint Louis University,United States of America
497,"University of Tennessee, Knoxville",United States of America
503,Medical College of Wisconsin,United States of America
515,University of South Dakota,United States of America
518,American University,United States of America
530,Florida International University,United States of America
532,Howard University,United States of America
537,Louisiana State University,United States of America
552,University of San Francisco,United States of America
565,University of Arkansas,United States of America
596,Missouri University of Science and Technology,United States of America
597,Montana State University,United States of America
601,New Mexico State University,United States of America
602,University of North Carolina at Greensboro,United States of America
603,Oklahoma State University,United States of America
609,Portland State University,United States of America
624,University of Texas at Arlington,United States of America
626,University of Toledo,United States of America
628,University of Tulsa,United States of America
630,University of Wisconsin-Milwaukee,United States of America
660,"California State University, Long Beach",United States of America
729,Miami University,United States of America
746,Oakland University,United States of America
748,Ohio University,United States of America
761,Rochester Institute of Technology,United States of America
782,University of Southern Mississippi,United States of America
792,University of Texas at El Paso,United States of America
793,Texas Tech University,United States of America
